FIPS,TFPYRM1999,TFPYRM2000,TFPYRM2001,TFPYRM2002,TFPYRM2003,TFPYRM2004,TFPYRM2005,TFPYRM2006,TFPYRM2007,TFPYRM2008,TFPYRM2009,TFPYRM2010,statename,stfips
05041,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05043,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05045,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05047,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05049,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,,05
05051,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05053,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05055,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05057,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,,05
05059,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05061,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,,05
05063,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05065,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05067,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05069,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05071,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05073,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,,05
05075,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
05077,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
05079,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05081,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,Arkansas,05
05083,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05085,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05087,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,Arkansas,05
05089,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,,05
05091,,,,152.0789,160.78728,159.71022,163.37689,176.44884,182.04866,194.72072,198.31998,195.59583,Arkansas,05
05093,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05095,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05097,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05099,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05101,,,,156.27817,159.61197,159.62947,163.45224,168.02838,181.43071,192.39217,195.96225,202.90378,Arkansas,05
05103,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05105,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05107,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05109,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05111,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,Arkansas,05
05113,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05115,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05117,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,,05
05119,156.39853,161.8811,158.75938,161.78351,162.08455,161.82159,164.00603,172.50104,181.57925,190.1644,193.91139,199.03735,Arkansas,05
05121,152.99606,150.68687,149.66745,146.27602,156.60886,157.97678,160.35022,168.42111,179.40654,189.65744,194.29027,198.98596,,05
